mnkim20	123456	14532	10123456789
kjmin	123456	17414	10123456790
ky1001	123456	16843	10123456791
minsun	123456	16012	10123456792
byobill	123456	30015	10123456793
jod123456	123456	14352	10123456794
nam6886	123456	18124	10123456795
eunjukim	123456	18374	1012345678
minaryu	123456	21473	1012345679
lord1356	123456	91740	1012345680
manisu0904	123456	24147	1012345681
asmi38271	123456	13972	1012345682
codus14776	123456	10827	1012345683
duriuji	123456	26903	1012345684
umm1918	123456	30712	1012345685
topplayer99	123456	14928	1012345686
hjg0728	123456	12730	1012345687
hobaek2	123456	24680	1012345688
wjsim	123456	12547	1012345689
token4684	123456	17927	1012345690
hyeok95	123456	20924	1012345691
dorim156	123456	20828	1012345692
hyunni	123456	10119	1012345693
mparmpa	123456	10927	1012345694
dailydoesof	123456	15789	1012345695
usakit342	123456	19274	1012345696
bbbooo	123456	18494	1012345697
hevv9873	123456	18593	1012345698
kunu901	123456	29583	1012345699
rojasjr3	123456	19573	1012345700
hjso30	123456	18493	1012345701
youngstar2	123456	17395	1012345702
jeseong19	123456	10583	1012345703
condor45	123456	14629	1012345704
mong2mon	123456	17735	1012345705
414km	123456	10939	1012345706
djkwon	123456	10025	1012345707
inein2	123456	38205	1012345708
seongho54	123456	26607	1012345709
kmsuuuuuu	123456	10958	1012345710
hyeonwooss	123456	16993	1012345711
hyeok726	123456	15538	1012345712
sunmoon722	123456	18734	1012345713
sdh1527	123456	13009	1012345714
ywt961	123456	13906	1012345715
beaniya	123456	30924	1012345716
gardenchoi	123456	27309	1012345717
2changjae	123456	18403	1012345718
chw0330	123456	11456	1012345719
chacha58	123456	16789	1012345720
tbongi	123456	18910	1012345721
yunseogo	123456	10028	1012345722
ing17	123456	17730	1012345723
wno6	123456	15689	1012345724
chanoss	123456	16392	1012345725
song312	123456	17725	1012345726
jms34	123456	15959	1012345727
kms313	123456	10001	1012345728
vdrspeaks	123456	16294	1012345729
zzang9	123456	14438	1012345730
jobaam	123456	13872	1012345731
corporalh	123456	16382	1012345732
